"sp","strategy"
"0.009902711026370525","-0.009902710578908205"
"0.004546689800918102","-0.0045466897862031785"
"0.010669267736375332","0.0015758882358397294"
"0.01131192035973072","0.0009332354805691981"
"0.003875443711876869","0.008369712353322558"
"0.0008903454872779548","0.011354810573770701"
"0.0005571051733568311","0.011688050843143212"
"-0.02037670649588108","-0.009245761153552978"
"-0.017772387713193893","-0.006641442536336207"
"-0.010959617793560028","0.0001713275748360939"
"-0.011264264583587646","-0.0001333193543670283"
"-0.015082522295415401","0.003684937656057453"
"-0.009093263186514378","0.009674196323733333"
"-0.02559458464384079","-0.006827124897802055"
"-0.023390281945466995","-0.00462282246023143"
"-0.011340397410094738","0.007427061992453683"
"-0.0003998418396804482","-0.003513493848131239"
"0.004051536787301302","-0.007964872500436456"
"0.003313572844490409","-0.007226908611267961"
"0.011354810558259487","-0.015268146251912905"
"0.012473554350435734","-0.016386889744312773"
"0.013254407793283463","-0.01716774364373535"
"0.008936232887208462","-0.012849568112707044"
"0.0065271854400634766","-0.010440521086890977"
"0.0008140965364873409","-0.016153609932443004"
"-0.009897945448756218","-0.026865651517853053"
"-0.015615799464285374","-0.03258350592009998"
"-0.0034230644814670086","-0.020390770999658043"
"0.003870678134262562","-0.013097028361571388"
"0.0038991551846265793","-0.013068551254492118"
"0.0016187782166525722","-0.015348928249545936"
"-0.0011425713310018182","-0.018110277771514107"
"-0.0033897056709975004","-0.015863143440234456"
"-0.00028558471240103245","-0.012759022535503978"
"-0.0080363554880023","-0.020509793683940375"
"-0.010888135060667992","-0.02336157255002149"
"0.0017805746756494045","-0.010692863125540339"
"-0.007793544791638851","-0.02026698275868081"
"-0.006850894540548325","-0.019324332397811936"
"-0.008117370307445526","-0.020590808147753645"
"-0.0042371610179543495","-0.024471017395211802"
"0.0009521814645268023","-0.02966035993668551"
"-0.001675848732702434","-0.02703232976908437"
"-0.00991689134389162","-0.01879128744652406"
"-0.03080781362950802","-0.039682209432966166"
"-0.06167751923203468","-0.07055191655579968"
"-0.09866027534008026","-0.10753467058728629"
"-0.11084818840026855","-0.11972258183448826"
"-0.07614115625619888","-0.0850155554744507"
"-0.05369346961379051","-0.0625678655954935"
"-0.05311741679906845","-0.06199181440086143"
"-0.06106334552168846","-0.0699377409076084"
"-0.0888337567448616","-0.09770815079895138"
"-0.07216580957174301","-0.08104020944272974"
"-0.07108508050441742","-0.07995947417079895"
"-0.0853249654173851","-0.09419936439096999"
"-0.06238212436437607","-0.07125652154810387"
"-0.07541272789239883","-0.08428712269867199"
"-0.07053279876708984","-0.0794071926430963"
"-0.06636223942041397","-0.07523663313651971"
"-0.0701804906129837","-0.0790548901469442"
"-0.058249689638614655","-0.09098569379880192"
"-0.05005136504769325","-0.08278736713686051"
"-0.052484236657619476","-0.08522024194615106"
"-0.06777627021074295","-0.10051227409808353"
"-0.06354381889104843","-0.09627982047101832"
"-0.07507948577404022","-0.10781548973301491"
"-0.07697431743144989","-0.10971032156814246"
"-0.08007843792438507","-0.11281444247287294"
"-0.08050693571567535","-0.11324293575959836"
"-0.10410672426223755","-0.1368427280278197"
"-0.10300222039222717","-0.13573822308895947"
"-0.0858914852142334","-0.11862749177592771"
"-0.08408714085817337","-0.11682314740145816"
"-0.07097558677196503","-0.10371158990362185"
"-0.05398387834429741","-0.08671988127487243"
"-0.05737840756773949","-0.0901144105552664"
"-0.04980384558439255","-0.08253984877145111"
"-0.04142460227012634","-0.07416060530473875"
"-0.04072952643036842","-0.07346553142582435"
"-0.03950599953532219","-0.07224200380268178"
"-0.04606178030371666","-0.06568622505376362"
"-0.05056081339716911","-0.07018525927301782"
"-0.03645900636911392","-0.056083453963908694"
"-0.032055169343948364","-0.05167961464546234"
"-0.031793296337127686","-0.05141774149342318"
"-0.033169206231832504","-0.050041832289133996"
"-0.038801394402980804","-0.04440964167430512"
"-0.022818995639681816","-0.02842724308360809"
"-0.012040353380143642","-0.017648599937559583"
"-0.013930419459939003","-0.01953866621599223"
"-0.016448957845568657","-0.017020127619283627"
"-0.004803681280463934","-0.0053748505533043785"
"-0.005251294933259487","-0.005822464183354445"
"-0.010035913437604904","-0.010607083105032172"
"0.001718738698400557","0.0011475692987494947"
"0.004451494663953781","0.003880325480548276"
"0.0008903454872779548","0.0003191760654680555"
"-0.00024281092919409275","-0.0008139803301066253"
"-0.0005903478595428169","-0.0011615172695638306"
